name,pieces,minifigs,image
4 Stud Medium Stone Gray Storage Brick Drawer,,,https://images.brickset.com/sets/small/5005713-1.jpg?202002040714
4 Stud Aqua Light Blue Storage Brick Drawer,,,https://images.brickset.com/sets/small/5005714-1.jpg?202002040714
8 Stud Black Storage Brick Drawer,,,https://images.brickset.com/sets/small/5005718-1.jpg?202002040714
8 Stud Light Purple Storage Brick Drawer,,,https://images.brickset.com/sets/small/5005719-1.jpg?202002040714
8 Stud Medium Stone Gray Storage Brick Drawer,,,https://images.brickset.com/sets/small/5005720-1.jpg?202002040714
8 Stud Aqua Light Blue Storage Brick Drawer,,,https://images.brickset.com/sets/small/5005721-1.jpg?202002040714
Transparent Red Sorting Case To Go,,,https://images.brickset.com/sets/small/5005769-1.jpg?202002040714
Minifigure Display Case 16 Blue,,,https://images.brickset.com/sets/small/5005772-1.jpg?202002040714
Holographic Brick Crossbody Bag,,,https://images.brickset.com/sets/small/5005810-1.jpg?202002040714
Minifigure Color Me Heritage Classic Backpack,,,https://images.brickset.com/sets/small/5005811-1.jpg?202002040714
Minifigure Color Me Lunch Bag,,,https://images.brickset.com/sets/small/5005812-1.jpg?202002040714
Gold Metallic Brick Backpack,,,https://images.brickset.com/sets/small/5005814-1.jpg?202002040714
LEGO® Gold Brick Crossbody Bag,,,https://images.brickset.com/sets/small/5005816-1.jpg?202002040714
Brick Red Hip Pack,,,https://images.brickset.com/sets/small/5005839-1.jpg?202002040714
Red Bright Blue and Yellow Wall Hanger Set,,,https://images.brickset.com/sets/small/5005870-1.jpg?202002040714
8 Stud Red Desk Drawer,,,https://images.brickset.com/sets/small/5005871-1.jpg?202002040714
4 Stud Red Desk Drawer,,,https://images.brickset.com/sets/small/5005872-1.jpg?202002040714
Transparent Red Rack System,,,https://images.brickset.com/sets/small/5005873-1.jpg?202002040714
Transparent Blue LEGO Rack System,,,https://images.brickset.com/sets/small/5005875-1.jpg?202003010814
Pumpkin Storage Head,,,https://images.brickset.com/sets/small/5005886-1.jpg?202001051057
4 Stud Blue Desk Drawer,,,/assets/images/misc/blankbox.gif
Transparent Blue Sorting Case To Go,,,https://images.brickset.com/sets/small/5005890-1.jpg?202002040714
 8 Stud Blue Desk Drawer,,,/assets/images/misc/blankbox.gif
Minifigure Lunch Set,,,https://images.brickset.com/sets/small/5005892-1.jpg?202002040714
Pink Light Blue and White Wall Hanger Set,,,https://images.brickset.com/sets/small/5005894-1.jpg?202002040714
12 Pack Marker Set,,,https://images.brickset.com/sets/small/5005963-1.jpg?202002040714
"First Edition Page from French Patent Application for LEGO DUPLO Brick, 1968",,,https://images.brickset.com/sets/small/5005998-1.jpg?202002080416
Spanish Patent LEGO Elements 1958,,,https://images.brickset.com/sets/small/5006001-1.jpg?202002121038
"– Page from British Patent Application for LEGO Elements, 1968",,,https://images.brickset.com/sets/small/5006004-1.jpg?202002080417
"Limited Edition Print – Page from German Patent Application for LEGO Toy Car, 1963",,,https://images.brickset.com/sets/small/5006006-1.jpg?202002080417
Holiday Bag Tag Stormtrooper,,,https://images.brickset.com/sets/small/5006035-1.jpg?202003021114
International Space Station Patch,,,https://images.brickset.com/sets/small/5006148-1.jpg?202002010909
The United Trinity,,,https://images.brickset.com/sets/small/5006171-1.jpg?202002040714
Cute Ideas,,,https://images.brickset.com/sets/small/ISBN0241401208-1.jpg?201909091204
NINJAGO Choose Your Ninja Mission: Which Path Will You Take?,,,https://images.brickset.com/sets/small/ISBN0241401275-1.jpg?201910211153
Epic History ,,,https://images.brickset.com/sets/small/ISBN0241409195-1.jpg?201909091202
Harry Potter Magical Treasury: A Visual Guide to the Wizarding World,,,https://images.brickset.com/sets/small/ISBN0241409454-1.jpg?202002291010
LEGO Minifigure: A Visual History,,,https://images.brickset.com/sets/small/ISBN0241409691-1.jpg?202001021000
LEGO Minifigure Handbook,,,https://images.brickset.com/sets/small/ISBN0241458234-1.jpg?202002160717
LEGO Still Life with Bricks: The Art of Everyday Play,,,https://images.brickset.com/sets/small/ISBN145217962X-1.jpg?202002090119
LEGO Still Life with Bricks: 100 Collectible Postcards,,,https://images.brickset.com/sets/small/ISBN1452179646-1.jpg?202002090120
LEGO Small Parts: The Secret Life of Minifigures,,,https://images.brickset.com/sets/small/ISBN1452182256-1.jpg?202002090120
"Star Wars Character Encyclopedia, New Edition",,,https://images.brickset.com/sets/small/ISBN1465489568-1.jpg?201908050954
Halloween Ideas,,,https://images.brickset.com/sets/small/ISBN1465493263-1.jpg?201910160847
Jurassic World Build Your Own Adventure,,,https://images.brickset.com/sets/small/ISBN1465493271-1.jpg?201911230455
City Build Your Own Adventure: Police Chase,,,https://images.brickset.com/sets/small/ISBN146549328X-1.jpg?201911230455
The LEGO Games Book,,,https://images.brickset.com/sets/small/ISBN1465497862-1.jpg?202002090120
"The Unofficial LEGO Builder's Guide, 3rd Edition",,,/assets/images/misc/blankbox.gif
High-Tech LEGO,,,https://images.brickset.com/sets/small/ISBN1718500254-1.jpg?202002090120
Building LEGO Trains,,,https://images.brickset.com/sets/small/ISBN1718500483-1.jpg?202002090120
Iconic Objects Made From LEGO Bricks,,,https://images.brickset.com/sets/small/ISBN3966640031-1.jpg?202002090121
Newsstand,,,https://images.brickset.com/sets/small/NEWSSTAND-1.jpg?202001090830
Valentine's Bear,,,https://images.brickset.com/sets/small/TEDDY-1.jpg?202002180607
